prompt,prompt_len,target
How many passenger trips were made by tram in Melbourne between 2013-2014? | Melbourne is currently building 50 new E Class trams with some already in service in 2014.,47,1
"Who group of Christians rose up against Muawiyah? | Muawiyah also encouraged peaceful coexistence with the Christian communities of Syria, granting his reign with ""peace and prosperity for Christians and Arabs alike"", and one of his closest advisers was Sarjun, the father of John of Damascus.",58,1
"What is telecommuting? | One research report based on a sampling of 1,800 corporate employees showed that, as of June 2010, 54% of the respondents with access to video conferencing used it “all of the time” or “frequently”.",59,1
"Upon development of samadhi, a person gets rid of what? | Upon development of samādhi, one's mind becomes purified of defilement, calm, tranquil, and luminous.",40,0
"What was the lowest class of Roman citizens? | Most others were plebeians, the lowest class of Roman citizens.",24,0
Who created the Type Delineator? | The work of David Kolb and Anthony Gregorc's Type Delineator follows a similar but more simplified approach.,34,0
"Where was Frederic Chopin from? | They include Frédéric Chopin (Poland), Franz Liszt (Hungary), Jacques Offenbach (Germany), and Igor Stravinsky (Russia).",34,0
"What magazine broke the story of Paul VI pending saint hood? | This report from the magazine further stated that several cardinals and bishops would meet on 5 May to confirm the miracle that had previously been approved, and then present it to Pope Francis who may sign the decree for beatification shortly after that.",61,1
"Where was the Hoffler Klinik supposed to be located? | Production was temporarily halted first by an injury to Craig, who sprained his knee whilst shooting a fight scene, and later by an accident involving a filming vehicle that saw three crew members injured, at least one of them seriously.",58,1
How many Greek shipping companies were in operation in 2011? | The 2011 ECSA report showed that there are approximately 750 Greek shipping companies in operation.,41,0
"What did engineers at CNES report in June 2007? | Soon after in June 2007, engineers at CNES reported the spectrum and structure of the signals.",40,0
"In which season was Bo Bice a contestant on American Idol? | The age limit was raised to 28 in this season, and among those who benefited from this new rule were Constantine Maroulis and Bo Bice, the two rockers of the show.",54,1
"What is the name of the modified member of the horn family appearing in several works by Strauss? | Unless these instruments are played by members doubling on another instrument (for example, a trombone player changing to euphonium for a certain passage), orchestras will use freelance musicians to augment their regular rosters.",62,1
"What field did the majority of the employees at La Defense work in? | In 2010 it was the workplace of 144,600 employees, of whom 38 percent worked in finance and insurance, 16 percent in business support services.",58,0
"What is the literal translation of the word ""schatzi""? | Schatzi literally means ""little treasure,"" colloquial for ""honey"" or ""darling"" in German.",37,0
"The representative said that inspectors had been show what sort of villages? | Dr. Nafis Sadik, former director of UNFPA said her agency had been pivotal in reversing China's coercive population control methods, but a 2005 report by Amnesty International and a separate report by the United States State Department found that coercive techniques were still regularly employed by the Chinese, casting doubt upon Sadik's statements.",85,1
"Who has the majority of the seats in Bern's City Council? | As of 2015, Bern's City Council is made up of two representatives of the SP (Social Democratic Party, of whom one is also the mayor), and one each of CVP (Christian Democratic Party), GB (Green Alliance of Berne), and FDP (FDP.The Liberals), giving the left parties a majority of three out of five seats.",90,0
Who sets database access? | Database access controls are set by special authorized (by the database owner) personnel that uses dedicated protected security DBMS interfaces.,30,0
What is determined by an object's movement through space? | The total energy of a system can be subdivided and classified in various ways.,29,1
What other name is used when referring to the origins of the Presbyterian Church? | The origins of the Presbyterian churches are in Calvinism.,28,0
"What did Ehrenstein say Obama does for white people? | Ehrenstein went on to say ""He's there to assuage white 'guilt' they feel over the role of slavery and racial segregation in American history.""",46,0
"Who criticized The Sun for its reporting on AIDS and HIV? | The Press Council condemned The Sun for committing what it called a ""gross distortion"".",30,0
"What was Nigeria's population density in 2009? | The United Nations estimates that the population in 2009 was at 154,729,000, distributed as 51.7% rural and 48.3% urban, and with a population density of 167.5 people per square kilometre.",79,0
Did MCA produce the disc or the players after being bought out? | Philips produced the players while MCA produced the discs.,25,0
"What was Eisenhower's favorite film? | He learned poker, which he called his ""favorite indoor sport,"" in Abilene.",27,1
"Who was the OSO trying to track and gain intelligence on? | Initially the OSO was tasked with spying and subversion overseas with a budget of $15 million, the largesse of a small number of patrons in congress.",47,1
"By coping the Arsenal team kit exactly, what nickname was given to Sporting Clube de Braga? | In 1920, Sporting Clube de Braga's manager returned from a game at Highbury and changed his team's green kit to a duplicate of Arsenal's red with white sleeves and shorts, giving rise to the team's nickname of Os Arsenalistas.",76,0
Which two countries refused to ratify the treaty to regulate mineral use in Antarctica? | They proposed instead that a comprehensive regime to protect the Antarctic environment be negotiated in its place.,35,1
"When did political parties organize themselves into international organizations? | Some administrations (e.g. Hong Kong) outlaw formal linkages between local and foreign political organizations, effectively outlawing international political parties.",40,1
"Who wrote Doctrina Christiana en letra y lengua china? | Xiamen University has also developed an alphabet based on Pinyin, which has been published in a dictionary called the Minnan Fangyan-Putonghua Cidian (閩南方言普通話詞典) and a language teaching book, which is used to teach the language to foreigners and Chinese non-speakers.",76,1
"Who did Schwarzenegger finally endorse in the 2008 Republican primary? | Schwarzenegger's endorsement in the Republican primary of the 2008 U.S. presidential election was highly sought; despite being good friends with candidates Rudy Giuliani and Senator John McCain, Schwarzenegger remained neutral throughout 2007 and early 2008.",72,0
"In the 2014 rankings produced by Times Higher Education, what position was Imperial ranked for GPA? | Imperial submitted a total of 1,257 staff across 14 units of assessment to the 2014 Research Excellence Framework (REF) assessment.",58,1
"Which gender generally drive partner selection?: | Females are generally the ones that drive partner selection, although in the polyandrous phalaropes, this is reversed: plainer males choose brightly coloured females.",41,0
Why have Jehovah's Witnesses sometimes been imprisoned? | Their doctrine of political neutrality and their refusal to serve in the military has led to imprisonment of members who refused conscription during World War II and at other times where national service has been compulsory.,50,0
What did The Sun reporters make Contostavlos believe? | The subterfuge involved conning the singer into believing that she was being considered for a role in an £8 million Bollywood film.,40,0
"""Scythia beyond the Himalayas"" is located where? | To the south is ""India on this side of the Ganges"" and ""India beyond the Ganges.""",33,1
What could epinephrine treat? | By 1929 epinephrine had been formulated into an inhaler for use in the treatment of nasal congestion.,32,0
"What does the British-Irish Council do? | Similarly, the Parliamentary Assembly has no legislative powers but investigates and collects witness evidence from the public on matters of mutual concern to its members.",38,0
"What British health organization made tuberculosis its top priority at its start? | Improvements in public health began significantly reducing rates of tuberculosis even before the arrival of streptomycin and other antibiotics, although the disease remained a significant threat to public health such that when the Medical Research Council was formed in Britain in 1913, its initial focus was tuberculosis research.",71,0
"What is another solution to the problem of temporal paradoxes? | This view doesn't simply hold that history is an unchangeable constant, but that any change made by a hypothetical future time traveler would already have happened in his or her past, resulting in the reality that the traveler moves from.",60,1
"What is La Encantada? | La Encantada, an upscale outdoor shopping mall, is also in the Foothills.",27,0
Where has the practice of racial profiling been ruled to be unconstitutional? | Many consider de facto racial profiling an example of institutional racism in law enforcement.,31,1
"What was the most common type of match before the fatal four-way? | Outside of kayfabe, this is done to give wrestlers a break from the action (as these matches tend to go on for long periods of time), and to make the action in the ring easier to choreograph.",61,1
"What is the name of the gay district? | Philadelphia's Gayborhood, which is located near Washington Square, is home to a large concentration of",32,0
What tournament used to be known as the Buick Invitational? | This course was also the site of the 2008 U.S. Open Golf Championship.,34,1
"Until 1965 what were the Houston Astros called? | expansion team formed in 1962 (known as the ""Colt .45s"" until 1965) that made one World Series appearance in 2005.",55,0
"How much did the parliament lease British india for to EIC (the lease was for two years)? | It introduced substantial governmental control and allowed British India to be formally under the control of the Crown, but leased back to the Company at £40,000 for two years.",59,0
"Along with lemon yellow, what color is produced in uranium glass? | It was also used for tinting and shading in early photography.",28,1
"What is the MWRA? | In addition to city government, numerous commissions and state authorities—including the Massachusetts Department of Conservation and Recreation, the Boston Public Health Commission, the Massachusetts Water Resources Authority (MWRA), and the Massachusetts Port Authority (Massport)—play a role in the life of Bostonians.",63,0
"What insurance company is located in downtown Detroit? | A number of the city's downtown employers are relatively new, as there has been a marked trend of companies moving from satellite suburbs around Metropolitan Detroit into the downtown core.[citation needed]",48,1
"What years were the highest concentration of military action in NC during the revolutionary war? | North Carolina made the smallest per-capita contribution to the war of any state, as only 7,800 men joined the Continental Army under General George Washington; an additional 10,000 served in local militia units under such leaders as General Nathanael Greene.",77,1
"The lower regions and larger towns of the Alps are well-served by what? | A multitude of airports around the Alps (and some within), as well as long-distance rail links from all neighbouring countries, afford large numbers of travellers easy access from abroad.",53,1
"Which bird is capable of non-stop flights of up to 6,300 miles? | Landbirds have a flight range of around 2,500 km (1,600 mi) and shorebirds can fly up to 4,000 km (2,500 mi), although the bar-tailed godwit is capable of non-stop flights of up to 10,200 km (6,300 mi).",100,0
"What changes to a keystone predator can seriously affect an ecosystem's equilibrium? | Introduction or removal of this predator, or changes in its population density, can have drastic cascading effects on the equilibrium of many other populations in the ecosystem.",47,0
The Palacio Taranco was erected to be the residence for whom? | The palace is often used as a meeting place by the Uruguayan government.,30,1
"How many master's programs does BYU have? | The university's primary focus is on undergraduate education, but it also has 68 master's and 25 doctoral degree programs.",41,0
"Who led the Friars Minor order at this time? | Like his contemporary, Francis, Dominic saw the need for a new type of organization, and the quick growth of the Dominicans and Franciscans during their first century of existence confirms that the orders of mendicant friars met a need.",61,1
"What does the oldest know term for Egypt translate to? | 𒄑 𒊒 KURmi-iṣ-ru miṣru, related to miṣru/miṣirru/miṣaru, meaning ""border"" or ""frontier"".",57,0
"In what year did Turner Classic Movies appear on Canadian cable television? | In Canada, TCM began to be carried on Shaw Cable and satellite provider Shaw Direct in 2005.",38,0
"What are some examples of dominant party systems? | Examples of dominant party systems include the People's Action Party in Singapore, the African National Congress in South Africa, the Cambodian People's Party in Cambodia, the Liberal Democratic Party in Japan, and the National Liberation Front in Algeria.",58,0
"What ethnicity is growing the quickest in New York City? | Hispanics of any race represented 28.6% of the population, while Asians constituted the fastest-growing segment of the city's population between 2000 and 2010; the non-Hispanic white population declined 3 percent, the smallest recorded decline in decades; and for the first time since the Civil War, the number of blacks declined over a decade.",92,0
"The Concodat restored significant power to what position? | Now, Napoleon could win favor with the Catholics while also controlling Rome in a political sense.",31,1
"What was the magnitude of the Nisqually quake? | Although the Seattle Fault passes just south of the city center, neither it nor the Cascadia subduction zone has caused an earthquake since the city's founding.",45,1
What may we assume the parties to a treaty intended the treaty's obligations to be if the treaty included an expiration date? | Some treaties are intended by the parties to be only temporarily binding and are set to expire on a given date.,49,0
"In what year did The Walt Disney Company close The American Idol Experience? | The attraction closed on August 30, 2014.",31,0
"The idea of what constitutes a family, from the human perspective, has enlarged to include what? | The first has been the 'commodification' of the dog, shaping it to conform to human expectations of personality and behaviour.",46,1
In what city did the 1972 attack on Israeli athletes occur? | Gaddafi also welcomed the three surviving attackers in Tripoli following their release in exchange for the hostages of hijacked Lufthansa Flight 615 a few weeks later and allowed them to go into hiding.,57,1
"What are three of the most typical type of tress that can be found in Ireland? | Natural forests in Ireland are mainly oak, ash, wych elm, birch and pine.",37,0
"What was the bit rate of AT&T's Picturephone? | The greater 1 MHz bandwidth and 6 Mbit/s bit rate of the Picturephone in the 1970s also did not achieve commercial success, mostly due to its high cost, but also due to a lack of network effect —with only a few hundred Picturephones in the world, users had extremely few contacts they could actually call to, and interoperability with other videophone systems would not exist for decades.",103,0
"What does hunting give resource managers an important tool? | However, in most circumstances carrying capacity is determined by a combination habitat and food availability, and hunting for 'population control' has no effect on the annual population of species.[citation needed]",49,1
What different options did the desktop version have? | Exceptions to the restrictions faced by Windows Store apps are given to web browsers.,26,1
"Where is the likely source of the change to the manipular formation? | One disadvantage of the phalanx was that it was only effective when fighting in large, open spaces, which left the Romans at a disadvantage when fighting in the hilly terrain of central Italian peninsula.",54,1
What annual sporting competition features the Wanamaker Mile? | The Millrose Games is an annual track and field meet whose featured event is the Wanamaker Mile.,34,0
"How much did the Genesis version of Mortal Kombat out-sell the SNES version? | Because the Genesis version retained the gore while the SNES version did not, it outsold the SNES version by a ratio of three or four-to-one.",50,0
"Who was the main character in the third arc series? | It focuses on a new protagonist, Tagiru Akashi and his partner Gumdramon who embark on a new journey with an older Mikey, Shoutmon, an older Ewan and the revived Damemon, along with other new comrades as they deal with a hidden dimension that lies between the Human World and the Digital World called DigiQuartz.",80,0
Where did Bronck emigrate from? | He became the first recorded European settler in the area now known as the Bronx.,26,1
"What type of roadway is widely recognizable in the center of London? | The inner ring road (around the city centre), the North and South Circular roads (in the suburbs), and the outer orbital motorway (the M25, outside the built-up area) encircle the city and are intersected by a number of busy radial routes—but very few motorways penetrate into inner London.",79,0
"Bacterial infections could be treated with medicines containing what kind of dye? | Ehrlich, noting both the general toxicity of arsenic and the selective absorption of certain dyes by bacteria, hypothesized that an arsenic-containing dye with similar selective absorption properties could be used to treat bacterial infections.",54,0
"What consisted of two rows of lights that formed a funnel, indicating an aircraft's position on the glidescope? | This consisted of two rows of lights that formed a funnel indicating an aircraft's position on the glideslope.",47,1
"What was Clayton Lockett's cause of death? | The prisoner had to be tasered to restrain him prior to the execution, and the lethal injection missed a vein in his groin, resulting in Lockett regaining consciousness, trying to get up, and to speak, before dying of a heart attack 43 minutes later, after the attempted execution had been called off.",76,0
Which contestant garnered the most attention because of a prior recording contract? | Contestant David Hernandez also attracted some attention due to his past employment as a stripper.,32,1
"What death penalty drug ceased to be manufactured in 2011? | Hospira, the only U.S. manufacturer of sodium thiopental, stopped making the drug in 2011.",44,0
what about the FA Cup winner? | The FA Cup winners qualify for the following season's UEFA Europa League (formerly named the UEFA Cup; until 1998 they entered the Cup Winners' Cup instead).,45,1
"What group did Southampton's Rob Skipper sing for? | James Zabiela, a highly regarded and recognised name in dance music, is also from Southampton.",32,1
"What make up the oracle during testing? | Although testing can determine the correctness of software under the assumption of some specific hypotheses (see hierarchy of testing difficulty below), testing cannot identify all the defects within software.",42,1
"How many districts does the federal government control in 1970? | In 1970 Mexico City was split into four different delegaciones: Cuauhtémoc, Miguel Hidalgo, Venustiano Carranza and Benito Juárez, increasing the number of delegaciones to sixteen.",59,0
"What was the designation of Nanjing? | Because it was designated as the national capital, many structures were built around that time.",26,0
"How did Bush try to make light of himself after being made fun of for his demeanor during the first debate? | Bush attempted to deflect criticism of what was described as his scowling demeanor during the first debate, joking at one point about one of Kerry's remarks, ""That answer made me want to scowl.""",65,0
"What leader tried to unite all people considered themselves ""German"" | The Nazis, led by Adolf Hitler, attempted to unite all the people they claimed were ""Germans"" (Volksdeutsche) into one realm, including ethnic Germans in eastern Europe, many of whom had emigrated more than one hundred fifty years before and developed separate cultures in their new lands.",71,0
"Who composed the first printed constitutions for Freemasonry? | At the dawn of the Grand Lodge era, during the 1720s, James Anderson composed the first printed constitutions for Freemasons, the basis for most subsequent constitutions, which specifically excluded women from Freemasonry.",58,0
"After the president declared a state of emergency, what type of curfew was placed on the country? | Barricades as well as roadblocks were erected and Traoré declared a state of emergency and imposed a nightly curfew.",45,0
"What is the GDP of the city? | With a gross domestic product of $388 billion, Philadelphia ranks ninth among world cities and fourth in the nation.",34,0
"In the film Dick Tracy, who did Madonna starred as? | Madonna starred as Breathless Mahoney in the film Dick Tracy (1990), with Warren Beatty playing the title role.",40,0
"What Recovery Plan duration the does Fish and Wildlife Service plan for in their policies? | Fish and Wildlife Service (FWS) and National Marine Fisheries Service (NMFS) are required to create an Endangered Species Recovery Plan outlining the goals, tasks required, likely costs, and estimated timeline to recover endangered species (i.e., increase their numbers and improve their management to the point where they can be removed from the endangered list).",86,1
"How many people were on the U.S. fact-finding team? | It wrote in a report to the State Department that it found ""no evidence that UNFPA has supported or participated in the management of a program of coercive abortion or involuntary sterilization in China,"" as has been charged by critics.",61,1
What was President Truman told at this meeting? | This meeting was much publicized because of the General's discourteous refusal to meet the President on the continental United States.,36,1
"When was 'Bridge of Spies' set? | Bridge of Spies received positive reviews from critics, and was nominated for six Academy Awards, including Best Picture.",32,1
What is the meaning of the word neuron in Greek? | In stress situations plants can overwrite the genomes they inherited from their parents and revert to that of their grand- or great-grandparents.[citation needed],43,1
"Ducks Unlimited and the Delta Waterfowl are examples of groups representing what? | Some groups represent a specific hunting interest, such as Ducks Unlimited, Pheasants Forever, or the Delta Waterfowl Foundation.",40,0
"What is the temperature on Neptune's clouds that are at 50 bars? | Deeper clouds of water ice should be found at pressures of about 50 bars (5.0 MPa), where the temperature reaches 273 K (0 °C).",55,0
"What dictates the splice sites to generate the final mature mRNA? | The sequences at the ends of the introns, dictate the splice sites to generate the final mature mRNA which encodes the protein or RNA product.",42,0
"When were the papal terms for submission accepted? | John paid some of the compensation money he had promised the church, but he ceased making payments in late 1214, leaving two-thirds of the sum unpaid; Innocent appears to have conveniently forgotten this debt for the good of the wider relationship.",62,1
"In what year were department store sales beaten by larger stores? | Since then, they have suffered from strong competition from specialist stores.",27,1
"What professorship did Father Josh Carrier hold at Notre Dame? | Father Joseph Carrier, C.S.C. was Director of the Science Museum and the Library and Professor of Chemistry and Physics until 1874.",46,0
What was the name of the person who hosted Chopin as a guest when he discovered Polish rural folk music? | Here for the first time he encountered Polish rural folk music.,35,1
"How many homeless shelters are in Paris? | The city of Paris has sixty homeless shelters, called Centres d'hébergement et de réinsertion sociale or CHRS, which are funded by the city and operated by private charities and associations.",47,0
"What kind of tube are the movie theaters lights enclosed in? | Traditionally made up of small low wattage, low voltage lamps in a track or translucent tube, these are rapidly being replaced with LED based versions.",42,0
"What does the Ministry of Foreign Affairs of the Republic of Greece conduct? | The Ministry of Foreign Affairs of the Republic of Greece conducts ""bilateral relationships"" with the countries of the ""Mediterranean – Middle East Region"" but has formulated no Near East Region.",52,0
"Konrad Zuse was an engineer with what nationality? | These devices had a low operating speed and were eventually superseded by much faster all-electric computers, originally using vacuum tubes.",36,1
What came with lesser lesser cost mobile conversion hardware or stationary hardware? | Consider also that it takes energy to constantly move this mobile conversion hardware over the rails while the stationary hardware in the railway substation doesn't incur this energy cost.,47,0
"How many locations can one use videoconferencing for? | Again, technology improvements have circumvented traditional definitions by allowing multiple party videoconferencing via web-based applications.",35,1
What do the methods of ethnohistory go beyond the standard use of? | Its historical methods and materials go beyond the standard use of documents and manuscripts.,32,0
"Who currently owns the  Chicago Cubs? | The team is currently owned by Thomas S. Ricketts, son of TD Ameritrade founder Joe Ricketts.",33,0
"When did Viking invasions begin in the British Isles? | The relations between the descendants of Vikings in England and counterparts in Normandy, in northern France, lay at the heart of a series of events that led to the Norman conquest of England in 1066.",54,1
"What did the iPod's US market share peak at in 2005? | During the year from January 2004 to January 2005, the high rate of sales caused its U.S. market share to increase from 31% to 65% and in July 2005, this market share was measured at 74%.",82,0
"Who were the collaborators assisting Japan in Hong King? | Collaborationist units from Hong Kong (reformed ex-colonial police), Philippines, Dutch East Indies (the PETA) and Dutch Guinea, British Malaya and British Borneo, Inner Mongolia and former French Indochina (after the overthrow of Vichy French regime) as well as Timorese militia also assisted Japanese war efforts.",75,0
"What part of the FBI did Mueller want to re-engineer? | During the September 11, 2001 attacks on the World Trade Center, FBI agent Leonard W. Hatton Jr. was killed during the rescue effort while helping the rescue personnel evacuate the occupants of the South Tower and stayed when it collapsed.",66,1
"Pb2+ causes lead glass to have what? | The high ionic radius of the Pb2+ ion renders it highly immobile in the matrix and hinders the movement of other ions; lead glasses therefore have high electrical resistance, about two orders of magnitude higher than soda-lime glass (108.5 vs 106.5 Ohm·cm, DC at 250 °C).",82,0
"What is the Russian term for air defence? | English terms for air defence include the German Flak (Fliegerabwehrkanone, ""aircraft defence cannon"", also cited as Flugabwehrkanone), whence English flak, and the Russian term Protivovozdushnaya oborona (Cyrillic: Противовозду́шная оборо́на), a literal translation of ""anti-air defence"", abbreviated as PVO.",89,0
"What are the scriptures on vinaya called? | The precise content of the vinayapitaka (scriptures on Vinaya) differs slightly according to different schools, and different schools or subschools set different standards for the degree of adherence to Vinaya.",53,0
"What language family do most of the languages of Italy belong to? | The languages of Italy are primarily Latin-based Romance languages, with the most widely spoken languages falling within the Italo-Dalmatian language family.",44,0
"What date did the Soviet Council of Ministers issue a declaration to remove native Estonians? | In the face of the country being re-occupied by the Red Army, tens of thousands of Estonians (including a majority of the education, culture, science, political and social specialists) chose to either retreat with the Germans or flee to Finland or Sweden where they sought refuge in other western countries, often by refugee ships such as the SS Walnut.",89,1
"What is Musee national des arts asiatiques famous for housing? | The Musée national du Moyen Âge, or Cluny Museum, presents Medieval art, including the famous tapestry cycle of The Lady and the Unicorn.",43,1
What year did Lee and Capote go to Kansas together? | She and Capote made up and acted out stories they wrote on an old Underwood typewriter Lee's father gave them.,38,1
"What are some examples of philosophical physicalism? | Philosophical physicalism has evolved from materialism with the discoveries of the physical sciences to incorporate more sophisticated notions of physicality than mere ordinary matter, such as: spacetime, physical energies and forces, dark matter, and so on.",55,0
"What is another name for the 10 large nuclear-powered carriers operated by the U.S. Navy? | As well as the supercarrier fleet, the US Navy has nine amphibious assault ships used primarily for helicopters (sometimes called helicopter carriers); these can also carry up to 25 fighter jets, and in some cases, are as large as some other nations' fixed-wing carriers.",82,1
"What does each codon correspond to? | Sets of three nucleotides, known as codons, each correspond to a specific amino acid.:6",28,0
"What do some agriculturalists often do? | In the Brazilian rainforest, those groups that recently did, or even continue to, rely on hunting and gathering techniques seem to have adopted this lifestyle, abandoning most agriculture, as a way to escape colonial control and as a result of the introduction of European diseases reducing their populations to levels where agriculture became difficult.[citation needed][dubious – discuss]",78,1
"When assent is granted in person, when is it formally considered final? | Thus, if each presiding officer makes the announcement at a different time (for instance because one house is not sitting on a certain date), assent is regarded as effective when the second announcement is made.",55,1
In what century did differences among human groups become a focus of science? | In the 18th century the differences among human groups became a focus of scientific investigation.,35,0
"What early philosopher proposed Dvaitadvaita? | According to this philosophy there are three categories of existence: Brahman, soul, and matter.",30,1
"Leotards are an example of what type of garment? | Most sports and physical activities are practiced wearing special clothing, for practical, comfort or safety reasons.",33,1
"How were East Prussians able to pay for land improvements and road construction? | Through publicly funded emergency relief programs concentrating on agricultural land-improvement projects and road construction, the ""Erich Koch Plan"" for East Prussia allegedly made the province free of unemployment; on August 16, 1933 Koch reported to Hitler that unemployment had been banished entirely from East Prussia, a feat that gained admiration throughout the Reich.",85,0
When did the Battle of Allia River approximately end? | The Romans met the Gauls in pitched battle at the Battle of Allia River around 390–387 BC.,40,0
Vipassana meditation can reveal how the mind was what? | Jhanas are also states that Arahants abide in order to rest.,30,1
"According to Nicholas Kaldor, what had Hayek's book created? | Others who responded negatively to Hayek's work on the business cycle included John Hicks, Frank Knight, and Gunnar Myrdal.",43,1
"What are some examples of non-bilaterian animals? | Traditional morphological and modern molecular phylogenetic analysis have both recognized a major evolutionary transition from ""non-bilaterian"" animals, which are those lacking a bilaterally symmetric body plan (Porifera, Ctenophora, Cnidaria and Placozoa), to ""bilaterian"" animals (Bilateria) whose body plans display bilateral symmetry.",82,0
"What year did Michael Dell bring in Lee Walker to the company? | Walker retired in 1990 due to health, and Michael Dell hired Morton Meyerson, former CEO and president of Electronic Data Systems to transform the company from a fast-growing medium-sized firm into a billion-dollar enterprise.",63,1
"What Muslim endeavors thrived on the coastal areas of south India? | Mahmud of Ghazni in the early 11th century raided mainly the north-western parts of the Indian sub-continent 17 times, but he did not seek to establish ""permanent dominion"" in those areas.",60,1
"When did the Rhine Rift earthquake occur? | As in much of Europe, the prosperity of Alsace came to an end in the 14th century by a series of harsh winters, bad harvests, and the Black Death.",46,1
"What is the way modern classification tries to determine species? | To overcome this uncertainty, modern bacterial classification emphasizes molecular systematics, using genetic techniques such as guanine cytosine ratio determination, genome-genome hybridization, as well as sequencing genes that have not undergone extensive lateral gene transfer, such as the rRNA gene.",63,0
"What gives mountain vallys their characteristic ""V"" shape before glacation? | If a glacial valley runs into a large body of water, it forms a fjord.",35,1
"Going by what unit of measurement makes Southampton the fourth largest port in the UK? | Today it remains home to luxury cruise ships, as well as being the largest freight port on the Channel coast and fourth largest UK port by tonnage, with several container terminals.",52,0
"How many Catholic churches were in the Boston area in 2010? | As of 2010 the Catholic Church had the highest number of adherents as a single denomination in the Boston-Cambridge-Newton Metro area, with more than two million members and 339 churches, followed by the Episcopal Church with 58,000 adherents in 160 churches.",82,0
"What type of cultures preceded Neolithic societies? | Although some late Eurasian Neolithic societies formed complex stratified chiefdoms or even states, states evolved in Eurasia only with the rise of metallurgy, and most Neolithic societies on the whole were relatively simple and egalitarian.",50,1
"Of the five permanent members of the UN Security Council, how many were parties to the treaty? | At that time however, only two of the five permanent members of the UN Security Council were parties to the treaty: France and the Republic of China.",51,0
"What is the Portuguese word for the short-cycle degrees awarded prior to 1988? | After the Bologna Process in 2007, they have been allowed to offer 2nd cycle (master's) degrees to its students.",53,1
"What causes the behavioral adaptations necessary for migration? | While it is agreed that the behavioral and physiological adaptations necessary for migration are under genetic control, some authors have argued that no genetic change is necessary for migratory behavior to develop in a sedentary species because the genetic framework for migratory behavior exists in nearly all avian lineages.",62,0
"What day did Charleston's airport hit the coldest day on record? | Hurricanes are a major threat to the area during the summer and early fall, with several severe hurricanes hitting the area – most notably Hurricane Hugo on September 21, 1989 (a category 4 storm).",61,1
"What nationality was the band Nazareth? | Scottish band Nazareth released their self-titled début album in 1971, producing a blend of hard rock and pop that would culminate in their best selling, Hair of the Dog (1975), which contained the proto-power ballad ""Love Hurts"".",64,0
"In order for a unconstitutional statue to disappear, it has to be deleted by? | Notably, a statute does not disappear automatically merely because it has been found unconstitutional; it must be deleted by a subsequent statute.",45,0
"What popular styles practice improvisation and ad libitum ornamentation? | Another difference is that whereas most popular styles lend themselves to the song form, classical music has been noted for its development of highly sophisticated forms of instrumental music such as the concerto, symphony, sonata, and mixed vocal and instrumental styles such as opera which, since they are written down, can attain a high level of complexity.",78,1
"What may have also been in use at the time? | Good candidates are the hypothethical ancestor languages of Alanian/Scytho-Sarmatian subgroup of Scythian in the far northwest; and the hypothetical ""Old Parthian"" (the Old Iranian ancestor of Parthian) in the near northwest, where original",64,1
"On which date were lawsuits filed against Harvard and Chapel Hill? | On November 17, 2014, Students for Fair Admissions, an offshoot of the Project on Fair Representation, filed lawsuits in federal district court challenging the admissions practices of Harvard University and the University of North Carolina at Chapel Hill.",64,0
Who brought the language Hokkien to Myanmar? | Many of the Hokkien dialects of this region are highly similar to Taiwanese and Amoy.,29,1
"In what geographic part of Libya is Bani Walid located? | On 20 October, Gaddafi broke out of Sirte's District 2 in a joint civilian-military convoy, hoping to take refuge in the Jarref Valley.",50,1
"What did a visitor give to Nistor? | A visitor from the west gave her bootlegged copies of American movies, which she dubbed for secret viewings through Romania.",35,0
"In which year did Tennessee tourism first exceed 100 million visitors? | In 2014 a record 100 million people visited the state resulting in $17.7 billion in tourism related spending within the state, an increase of 6.3% over 2013; tax revenue from tourism equaled $1.5 billion.",77,0
"What kind of leaves are large and flat? | Large, flat, flexible, green leaves are called foliage leaves.",24,0
"How many students enroll to the SMC annually? | It occupies 35 acres (14 hectares) and enrolls 30,000 students annually.",35,0
Which entity oversees the Judicial Police? | Portuguese law applied in the former colonies and territories and continues to be the major influence for those countries.,29,1
"When was the second time Nintendo test marketed the NES? | The system was originally targeted for release in the spring of 1985, but the release date was pushed back.",38,1
What were a large number of the local documents in regards to? | Scholars have translated and analyzed these documents in what is called the New Philology to write histories of indigenous peoples from indigenous viewpoints.,40,1
"When was the greylag goose first domesticated by humans? | Despite their early domestication, geese have never gained the commercial importance of chickens and ducks.",31,1
"To what other paving material is Selenizza added? | Other typical applications include the production of mastic asphalts for sidewalks, bridges, car-parks and urban roads as well as drilling fluid additives for the oil and gas industry.",48,0
"During what period were the Little Tough Guys films produced? | The studio fostered many series: The Dead End Kids and Little Tough Guys action features and serials (1938–43); the comic adventures of infant Baby Sandy (1938–41); comedies with Hugh Herbert (1938–42) and The Ritz Brothers (1940–43); musicals with Robert Paige, Jane Frazee, The Andrews Sisters, and The Merry Macs (1938–45); and westerns with Tom Mix (1932–33), Buck Jones (1933–36), Bob Baker (1938–39), Johnny Mack Brown (1938–43); Rod Cameron (1944–45), and Kirby Grant (1946–47).",180,0
"What are Italian dialects termed in the Italian language? | These regional languages are often referred to colloquially or in non-linguistic circles as Italian ""dialects,"" or dialetti (standard Italian for ""dialects"").",45,0
